candidate_k,k_offload,offload_fraction,potential,system_total_cost_normalized,mean_energy_mj_per_task_simulated,queue_delay_ms_per_offloaded_task,mean_queue_delay_ms_per_task,vram_load_gb_simulated,vram_load_fraction,memory_violation_simulated,is_psne,pareto_nondominated
0,0,0.0,280.6,280.6,433080.0,0.0,0.0,0.0,0.0,0,0,1
1,1,0.01,272.4439328006629,272.4439328006629,418320.00215625,212.79429143156344,2.1279429143156343,0.22699999999999995,0.014187499999999997,0,0,1
2,2,0.02,264.9878845741105,264.9879035468953,404820.0043125,212.79429753994745,4.255885950798949,0.4539999999999999,0.028374999999999994,0,0,1
3,3,0.03,258.2906026191868,258.2906659515689,392580.00658203126,212.7943037742765,6.383829113228295,0.6809999999999998,0.04256249999999999,0,0,1
4,4,0.04,253.5244742097758,253.52461532927043,383940.00882031245,212.7943101384863,8.511772405539453,0.9079999999999998,0.05674999999999999,0,0,1
5,5,0.05,248.82724849606973,248.8275108642853,375300.0110898438,212.79431663667842,10.639715831833922,1.1349999999999998,0.07093749999999999,0,0,1
6,6,0.06,244.74700622687317,244.7474457771232,367920.01330078125,212.79432327312878,12.767659396387725,1.3619999999999997,0.08512499999999998,0,0,1
7,7,0.07,240.8789593347299,240.87964744709691,360900.0155351563,212.7943300522973,14.895603103660813,1.5889999999999997,0.09931249999999998,0,0,1
8,8,0.08,237.02108916478753,237.02211629069754,353880.0177890626,212.7943369788378,17.023546958307026,1.8159999999999996,0.11349999999999998,0,0,1
9,9,0.09,233.33289073788384,233.33437080877857,347220.0198828125,212.79434405760867,19.15149096518478,2.0429999999999997,0.12768749999999998,0,0,1
10,10,0.1,229.70829665096156,229.71037243259997,340740.0220078125,212.79435129368414,21.27943512936842,2.2699999999999996,0.14187499999999997,0,0,1
11,11,0.11,226.12834442794534,226.13119401407354,334260.0241171875,212.79435869236667,23.407379456160335,2.4969999999999994,0.15606249999999997,0,0,1
12,12,0.12,222.54848266779098,222.55232734539973,327780.026328125,212.79436625919956,25.535323951103948,2.7239999999999993,0.17024999999999996,0,0,1
13,13,0.13,219.0626496898478,219.06776345419354,321480.02842578123,212.79437399998108,27.66326861999754,2.950999999999999,0.18443749999999995,0,0,1
14,14,0.14,215.5890942994827,215.5958153519037,315180.0306484375,212.79438192077916,29.791213468909085,3.1779999999999995,0.19862499999999997,0,0,1
15,15,0.15,212.24404266690536,212.25278729391948,309060.0329257812,212.7943900279472,31.91915850419208,3.4049999999999994,0.21281249999999996,0,0,1
16,16,0.16,209.13433894636293,209.14561825660144,303480.03507812496,212.79439832814128,34.047103732502606,3.6319999999999992,0.22699999999999995,0,0,1
17,17,0.17,206.04232095812824,206.0567610467356,297720.03745703126,212.79440682833814,36.17504916081749,3.858999999999999,0.24118749999999994,0,0,1
18,18,0.18,203.1221747021157,203.1405409231715,292320.03978125,212.7944155358549,38.30299479645388,4.085999999999999,0.25537499999999996,0,0,1
19,19,0.19,200.2225550260825,200.24578118575408,286920.0421445312,212.79442445837003,40.4309406470903,4.312999999999999,0.2695624999999999,0,0,1
20,20,0.2,197.4300707128175,197.4592941533364,281880.044328125,212.7944336039458,42.55888672078917,4.539999999999999,0.28374999999999995,0,0,1
21,21,0.21,194.63923833107106,194.67584206300037,276660.04670703126,212.7944429810529,44.68683302602111,4.766999999999999,0.2979374999999999,0,0,1
22,22,0.22,191.90353013073042,191.94919339399092,271440.04919140623,212.79445259859622,46.81477957169117,4.993999999999999,0.31212499999999993,0,0,1
23,23,0.23,189.1865572025397,189.24331610198524,266220.0517109375,212.7944624659433,48.94272636716696,5.220999999999999,0.32631249999999995,0,0,1
24,24,0.24,186.4790192698552,186.54933944676702,261180.0540546875,212.79447259295478,51.07067342230914,5.447999999999999,0.3404999999999999,0,0,1
25,25,0.25,183.79722129109592,183.88408496721027,256320.05625390622,212.79448299001706,53.198620747504265,5.674999999999999,0.35468749999999993,0,0,1
26,26,0.26,181.1668706308361,181.2738808075857,251460.05855078122,212.79449366807805,55.32656835370029,5.901999999999998,0.3688749999999999,0,0,1
27,27,0.27,178.56176998406718,178.69327510982666,246600.06089453123,212.7945046386855,57.454516252445096,6.128999999999999,0.3830624999999999,0,0,1
28,28,0.28,175.97600166687428,176.13724471481706,241740.0632734375,212.79451591402878,59.58246445592807,6.355999999999999,0.39724999999999994,0,0,1
29,29,0.29,173.4429051780937,173.64020182536248,237060.06555859375,212.79452750698388,61.71041297702532,6.582999999999998,0.4114374999999999,0,0,1
30,30,0.3,170.91333968696162,171.15429117420805,232380.06784765623,212.79453943116255,63.83836182934877,6.809999999999999,0.4256249999999999,0,0,1
31,31,0.31,168.4017393231335,168.695486628149,227700.07016796872,212.79455170096568,65.96631102729935,7.036999999999998,0.4398124999999999,0,0,1
32,32,0.32,165.89827335064354,166.25580056161695,223020.07249999995,212.7945643316412,68.09426058612519,7.2639999999999985,0.4539999999999999,0,0,1
33,33,0.33,163.41139226929033,163.84588852871383,218340.074859375,212.79457733934743,70.22221052198466,7.490999999999999,0.4681874999999999,0,0,1
34,34,0.34,160.9422455041615,161.46953665678768,213840.07695312495,212.7945907412219,72.35016085201545,7.717999999999998,0.4823749999999999,0,0,1
