algorithm,k_offload,offload_fraction,potential,system_total_cost_normalized,mean_energy_mj_per_task_simulated,queue_delay_ms_per_offloaded_task,mean_queue_delay_ms_per_task,vram_load_gb_simulated,vram_load_fraction,memory_violation_simulated,is_psne
deepseek_best_response_psne,63,0.63,110.0005433317764,211.181442301592,96480.1434765625,212.7952945140824,134.06103554387192,14.300999999999997,0.8938124999999998,0,1
all_local,0,0.0,280.6,280.6,433080.0,0.0,0.0,0.0,0.0,0,0
all_offload,100,1.0,4085.4057737405083,58463.587511622085,0.22914062499999996,288.62646722319454,288.62646722319454,22.699999999999996,1.4187499999999997,1,0
greedy_local_information_only,100,1.0,4085.4057737405083,58463.587511622085,0.22914062499999996,288.62646722319454,288.62646722319454,22.699999999999996,1.4187499999999997,1,0
random_p_0.5_mean,49.882,0.49882,166.0533687746155,181.76610507767748,216767.2742936797,212.79488924885115,106.1463536532928,11.323213999999997,0.7077008749999998,0.0,not_applicable
