model,k_equivalent,observed_delay_ms,predicted_delay_ms,residual_ms
B_utilization_proxy,0.0,196.0,212.7942854453462,16.794285445346198
B_utilization_proxy,0.0,425.0,212.7942854453462,-212.20571455465378
B_utilization_proxy,0.0,240.0,212.7942854453462,-27.205714554653788
B_utilization_proxy,0.0,141.0,212.7942854453462,71.79428544534622
B_utilization_proxy,0.0,293.0,212.7942854453462,-80.20571455465378
B_utilization_proxy,0.0,159.0,212.7942854453462,53.794285445346205
B_utilization_proxy,0.0,274.0,212.7942854453462,-61.20571455465382
B_utilization_proxy,0.0,306.5,212.7942854453462,-93.7057145546538
B_utilization_proxy,0.0,218.0,212.7942854453462,-5.205714554653795
B_utilization_proxy,0.0,144.0,212.7942854453462,68.79428544534622
B_utilization_proxy,0.0,129.0,212.7942854453462,83.7942854453462
B_utilization_proxy,0.0,173.0,212.7942854453462,39.79428544534622
B_utilization_proxy,0.0,265.0,212.7942854453462,-52.20571455465381
B_utilization_proxy,0.0,305.0,212.7942854453462,-92.2057145546538
B_utilization_proxy,0.0,188.0,212.7942854453462,24.794285445346205
B_utilization_proxy,0.0,182.0,212.7942854453462,30.79428544534621
B_utilization_proxy,0.0,197.0,212.7942854453462,15.794285445346196
B_utilization_proxy,0.0,160.0,212.7942854453462,52.7942854453462
B_utilization_proxy,0.0,189.5,212.7942854453462,23.2942854453462
B_utilization_proxy,0.0,227.0,212.7942854453462,-14.205714554653802
B_utilization_proxy,0.0,243.0,212.7942854453462,-30.205714554653788
B_utilization_proxy,0.0,182.0,212.7942854453462,30.79428544534621
B_utilization_proxy,0.0,214.0,212.7942854453462,-1.2057145546537917
B_utilization_proxy,0.0,233.0,212.7942854453462,-20.20571455465381
B_utilization_proxy,0.0,229.0,212.7942854453462,-16.205714554653806
B_utilization_proxy,0.0,215.0,212.7942854453462,-2.2057145546537926
B_utilization_proxy,0.0,163.0,212.7942854453462,49.7942854453462
B_utilization_proxy,0.0,247.0,212.7942854453462,-34.205714554653795
B_utilization_proxy,0.0,190.0,212.7942854453462,22.7942854453462
B_utilization_proxy,0.0,204.0,212.7942854453462,8.794285445346217
B_utilization_proxy,26.666666666666664,213.0,212.7945009485725,-0.20549905142749902
B_utilization_proxy,0.0,195.0,212.7942854453462,17.794285445346198
B_utilization_proxy,0.0,221.0,212.7942854453462,-8.205714554653799
B_utilization_proxy,0.0,225.5,212.7942854453462,-12.705714554653802
B_utilization_proxy,0.0,195.75,212.7942854453462,17.044285445346198
B_utilization_proxy,0.0,170.0,212.7942854453462,42.79428544534619
B_utilization_proxy,0.0,213.0,212.7942854453462,-0.20571455465379085
B_utilization_proxy,0.0,202.0,212.7942854453462,10.79428544534619
B_utilization_proxy,0.0,178.5,212.7942854453462,34.29428544534621
B_utilization_proxy,0.0,191.0,212.7942854453462,21.7942854453462
B_utilization_proxy,26.666666666666664,206.5,212.7945009485725,6.294500948572507
B_utilization_proxy,26.666666666666664,202.0,212.7945009485725,10.794500948572484
B_utilization_proxy,0.0,195.0,212.7942854453462,17.794285445346198
B_utilization_proxy,53.33333333333333,181.0,212.79496273707574,31.794962737075743
B_utilization_proxy,53.33333333333333,175.0,212.79496273707574,37.79496273707575
B_utilization_proxy,0.0,176.5,212.7942854453462,36.29428544534621
B_utilization_proxy,0.0,187.5,212.7942854453462,25.294285445346205
B_utilization_proxy,0.0,205.0,212.7942854453462,7.794285445346216
B_utilization_proxy,0.0,176.0,212.7942854453462,36.79428544534621
B_utilization_proxy,0.0,157.0,212.7942854453462,55.794285445346205
B_utilization_proxy,0.0,215.0,212.7942854453462,-2.2057145546537926
B_utilization_proxy,0.0,189.0,212.7942854453462,23.7942854453462
B_utilization_proxy,0.0,221.0,212.7942854453462,-8.205714554653799
B_utilization_proxy,0.0,206.0,212.7942854453462,6.794285445346215
B_utilization_proxy,0.0,177.0,212.7942854453462,35.79428544534621
B_utilization_proxy,0.0,213.0,212.7942854453462,-0.20571455465379085
B_utilization_proxy,0.0,170.0,212.7942854453462,42.79428544534619
B_utilization_proxy,26.666666666666664,217.5,212.7945009485725,-4.705499051427503
B_utilization_proxy,26.666666666666664,207.0,212.7945009485725,5.794500948572506
B_utilization_proxy,26.666666666666664,196.25,212.7945009485725,16.544500948572487
B_utilization_proxy,0.0,189.0,212.7942854453462,23.7942854453462
B_utilization_proxy,0.0,165.0,212.7942854453462,47.7942854453462
B_utilization_proxy,0.0,205.5,212.7942854453462,7.294285445346215
B_utilization_proxy,0.0,229.0,212.7942854453462,-16.205714554653806
B_utilization_proxy,0.0,175.5,212.7942854453462,37.29428544534621
B_utilization_proxy,0.0,156.0,212.7942854453462,56.794285445346205
B_utilization_proxy,0.0,203.0,212.7942854453462,9.79428544534619
B_utilization_proxy,0.0,188.0,212.7942854453462,24.794285445346205
B_utilization_proxy,0.0,186.5,212.7942854453462,26.294285445346205
B_utilization_proxy,0.0,185.0,212.7942854453462,27.794285445346205
B_utilization_proxy,0.0,202.0,212.7942854453462,10.79428544534619
B_utilization_proxy,26.666666666666664,199.0,212.7945009485725,13.794500948572486
B_utilization_proxy,0.0,211.0,212.7942854453462,1.794285445346211
B_utilization_proxy,80.0,217.0,212.79665591347026,-4.203344086529725
B_utilization_proxy,0.0,165.0,212.7942854453462,47.7942854453462
B_utilization_proxy,0.0,175.0,212.7942854453462,37.79428544534621
B_utilization_proxy,0.0,197.0,212.7942854453462,15.794285445346196
B_utilization_proxy,26.666666666666664,182.5,212.7945009485725,30.2945009485725
B_utilization_proxy,26.666666666666664,199.5,212.7945009485725,13.294500948572486
B_utilization_proxy,0.0,199.0,212.7942854453462,13.794285445346194
B_utilization_proxy,0.0,183.0,212.7942854453462,29.79428544534621
B_utilization_proxy,0.0,209.0,212.7942854453462,3.7942854453462127
B_utilization_proxy,26.666666666666664,196.0,212.7945009485725,16.794500948572487
B_utilization_proxy,0.0,197.5,212.7942854453462,15.294285445346196
B_utilization_proxy,0.0,195.0,212.7942854453462,17.794285445346198
B_utilization_proxy,53.33333333333333,176.5,212.79496273707574,36.29496273707575
B_utilization_proxy,80.0,189.25,212.79665591347026,23.54665591347027
B_utilization_proxy,26.666666666666664,203.5,212.7945009485725,9.294500948572509
B_utilization_proxy,0.0,177.0,212.7942854453462,35.79428544534621
B_utilization_proxy,0.0,201.0,212.7942854453462,11.794285445346192
B_utilization_proxy,0.0,209.0,212.7942854453462,3.7942854453462127
B_utilization_proxy,0.0,177.0,212.7942854453462,35.79428544534621
B_utilization_proxy,0.0,174.0,212.7942854453462,38.79428544534622
B_utilization_proxy,0.0,175.5,212.7942854453462,37.29428544534621
B_utilization_proxy,0.0,199.0,212.7942854453462,13.794285445346194
B_utilization_proxy,0.0,174.0,212.7942854453462,38.79428544534622
B_utilization_proxy,0.0,171.0,212.7942854453462,41.79428544534619
B_utilization_proxy,0.0,201.0,212.7942854453462,11.794285445346192
B_utilization_proxy,0.0,185.5,212.7942854453462,27.294285445346205
B_utilization_proxy,26.666666666666664,212.0,212.7945009485725,0.7945009485725019
B_utilization_proxy,26.666666666666664,212.0,212.7945009485725,0.7945009485725019
B_utilization_proxy,26.666666666666664,227.5,212.7945009485725,-14.705499051427513
B_utilization_proxy,0.0,177.5,212.7942854453462,35.29428544534621
B_utilization_proxy,0.0,174.5,212.7942854453462,38.29428544534622
B_utilization_proxy,26.666666666666664,197.0,212.7945009485725,15.794500948572487
B_utilization_proxy,0.0,166.0,212.7942854453462,46.7942854453462
B_utilization_proxy,0.0,197.0,212.7942854453462,15.794285445346196
B_utilization_proxy,26.666666666666664,176.0,212.7945009485725,36.794500948572505
B_utilization_proxy,0.0,180.0,212.7942854453462,32.79428544534621
B_utilization_proxy,0.0,169.5,212.7942854453462,43.29428544534619
B_utilization_proxy,0.0,175.5,212.7942854453462,37.29428544534621
B_utilization_proxy,26.666666666666664,182.5,212.7945009485725,30.2945009485725
B_utilization_proxy,0.0,185.0,212.7942854453462,27.794285445346205
B_utilization_proxy,0.0,162.0,212.7942854453462,50.7942854453462
B_utilization_proxy,0.0,180.0,212.7942854453462,32.79428544534621
B_utilization_proxy,0.0,199.0,212.7942854453462,13.794285445346194
B_utilization_proxy,0.0,202.0,212.7942854453462,10.79428544534619
B_utilization_proxy,0.0,172.5,212.7942854453462,40.29428544534622
B_utilization_proxy,0.0,191.5,212.7942854453462,21.2942854453462
B_utilization_proxy,0.0,195.0,212.7942854453462,17.794285445346198
B_utilization_proxy,0.0,195.0,212.7942854453462,17.794285445346198
B_utilization_proxy,26.666666666666664,208.0,212.7945009485725,4.794500948572505
B_utilization_proxy,0.0,194.0,212.7942854453462,18.794285445346198
B_utilization_proxy,0.0,192.5,212.7942854453462,20.2942854453462
B_utilization_proxy,0.0,152.5,212.7942854453462,60.294285445346205
B_utilization_proxy,0.0,163.5,212.7942854453462,49.2942854453462
B_utilization_proxy,0.0,216.0,212.7942854453462,-3.2057145546537935
B_utilization_proxy,0.0,231.0,212.7942854453462,-18.205714554653806
B_utilization_proxy,0.0,248.0,212.7942854453462,-35.205714554653795
B_utilization_proxy,0.0,194.0,212.7942854453462,18.794285445346198
B_utilization_proxy,0.0,180.0,212.7942854453462,32.79428544534621
B_utilization_proxy,0.0,184.0,212.7942854453462,28.79428544534621
B_utilization_proxy,0.0,183.0,212.7942854453462,29.79428544534621
B_utilization_proxy,0.0,180.0,212.7942854453462,32.79428544534621
B_utilization_proxy,0.0,186.5,212.7942854453462,26.294285445346205
B_utilization_proxy,0.0,207.5,212.7942854453462,5.294285445346214
B_utilization_proxy,0.0,167.0,212.7942854453462,45.7942854453462
B_utilization_proxy,26.666666666666664,186.0,212.7945009485725,26.794500948572498
B_utilization_proxy,0.0,195.0,212.7942854453462,17.794285445346198
B_utilization_proxy,0.0,175.0,212.7942854453462,37.79428544534621
B_utilization_proxy,0.0,199.5,212.7942854453462,13.294285445346194
B_utilization_proxy,26.666666666666664,174.0,212.7945009485725,38.794500948572505
B_utilization_proxy,0.0,193.5,212.7942854453462,19.294285445346198
B_utilization_proxy,0.0,172.5,212.7942854453462,40.29428544534622
B_utilization_proxy,0.0,198.0,212.7942854453462,14.794285445346194
B_utilization_proxy,0.0,233.0,212.7942854453462,-20.20571455465381
B_utilization_proxy,0.0,177.0,212.7942854453462,35.79428544534621
B_utilization_proxy,26.666666666666664,207.0,212.7945009485725,5.794500948572506
B_utilization_proxy,26.666666666666664,182.5,212.7945009485725,30.2945009485725
B_utilization_proxy,0.0,217.0,212.7942854453462,-4.205714554653794
B_utilization_proxy,0.0,237.0,212.7942854453462,-24.205714554653785
B_utilization_proxy,26.666666666666664,210.0,212.7945009485725,2.7945009485725034
B_utilization_proxy,0.0,235.5,212.7942854453462,-22.705714554653785
B_utilization_proxy,0.0,169.0,212.7942854453462,43.79428544534619
B_utilization_proxy,0.0,201.5,212.7942854453462,11.294285445346192
B_utilization_proxy,0.0,201.0,212.7942854453462,11.794285445346192
B_utilization_proxy,0.0,193.0,212.7942854453462,19.794285445346198
B_utilization_proxy,0.0,186.0,212.7942854453462,26.794285445346205
B_utilization_proxy,0.0,201.0,212.7942854453462,11.794285445346192
B_utilization_proxy,0.0,198.5,212.7942854453462,14.294285445346194
B_utilization_proxy,0.0,186.0,212.7942854453462,26.794285445346205
B_utilization_proxy,0.0,173.0,212.7942854453462,39.79428544534622
B_utilization_proxy,26.666666666666664,202.0,212.7945009485725,10.794500948572484
B_utilization_proxy,0.0,216.0,212.7942854453462,-3.2057145546537935
B_utilization_proxy,0.0,218.5,212.7942854453462,-5.705714554653795
B_utilization_proxy,0.0,177.0,212.7942854453462,35.79428544534621
B_utilization_proxy,0.0,195.0,212.7942854453462,17.794285445346198
B_utilization_proxy,0.0,180.5,212.7942854453462,32.29428544534621
B_utilization_proxy,0.0,178.0,212.7942854453462,34.79428544534621
B_utilization_proxy,26.666666666666664,199.0,212.7945009485725,13.794500948572486
B_utilization_proxy,0.0,185.0,212.7942854453462,27.794285445346205
B_utilization_proxy,0.0,190.0,212.7942854453462,22.7942854453462
B_utilization_proxy,26.666666666666664,212.0,212.7945009485725,0.7945009485725019
B_utilization_proxy,0.0,180.0,212.7942854453462,32.79428544534621
B_utilization_proxy,0.0,216.0,212.7942854453462,-3.2057145546537935
B_utilization_proxy,0.0,235.5,212.7942854453462,-22.705714554653785
B_utilization_proxy,0.0,178.0,212.7942854453462,34.79428544534621
B_utilization_proxy,0.0,192.0,212.7942854453462,20.7942854453462
B_utilization_proxy,26.666666666666664,213.5,212.7945009485725,-0.7054990514274995
B_utilization_proxy,0.0,208.0,212.7942854453462,4.794285445346214
B_utilization_proxy,0.0,188.0,212.7942854453462,24.794285445346205
B_utilization_proxy,0.0,174.0,212.7942854453462,38.79428544534622
B_utilization_proxy,0.0,186.0,212.7942854453462,26.794285445346205
B_utilization_proxy,0.0,238.0,212.7942854453462,-25.205714554653785
B_utilization_proxy,0.0,171.0,212.7942854453462,41.79428544534619
B_utilization_proxy,0.0,171.0,212.7942854453462,41.79428544534619
B_utilization_proxy,0.0,184.5,212.7942854453462,28.29428544534621
B_utilization_proxy,0.0,217.0,212.7942854453462,-4.205714554653794
B_utilization_proxy,0.0,193.0,212.7942854453462,19.794285445346198
B_utilization_proxy,0.0,189.0,212.7942854453462,23.7942854453462
B_utilization_proxy,0.0,169.0,212.7942854453462,43.79428544534619
B_utilization_proxy,0.0,195.0,212.7942854453462,17.794285445346198
B_utilization_proxy,0.0,240.0,212.7942854453462,-27.205714554653788
B_utilization_proxy,0.0,228.0,212.7942854453462,-15.205714554653804
B_utilization_proxy,0.0,177.0,212.7942854453462,35.79428544534621
B_utilization_proxy,0.0,196.5,212.7942854453462,16.294285445346198
B_utilization_proxy,53.33333333333333,234.0,212.79496273707574,-21.205037262924275
B_utilization_proxy,26.666666666666664,195.0,212.7945009485725,17.79450094857249
B_utilization_proxy,0.0,249.0,212.7942854453462,-36.205714554653795
B_utilization_proxy,0.0,238.0,212.7942854453462,-25.205714554653785
B_utilization_proxy,26.666666666666664,161.0,212.7945009485725,51.79450094857249
B_utilization_proxy,0.0,168.25,212.7942854453462,44.54428544534619
B_utilization_proxy,0.0,206.0,212.7942854453462,6.794285445346215
B_utilization_proxy,0.0,204.0,212.7942854453462,8.794285445346217
B_utilization_proxy,0.0,194.5,212.7942854453462,18.294285445346198
B_utilization_proxy,0.0,215.0,212.7942854453462,-2.2057145546537926
B_utilization_proxy,0.0,166.0,212.7942854453462,46.7942854453462
B_utilization_proxy,0.0,197.0,212.7942854453462,15.794285445346196
B_utilization_proxy,0.0,201.0,212.7942854453462,11.794285445346192
B_utilization_proxy,0.0,243.0,212.7942854453462,-30.205714554653788
B_utilization_proxy,0.0,181.0,212.7942854453462,31.79428544534621
B_utilization_proxy,26.666666666666664,198.0,212.7945009485725,14.794500948572487
B_utilization_proxy,0.0,219.0,212.7942854453462,-6.205714554653796
B_utilization_proxy,0.0,179.0,212.7942854453462,33.79428544534621
B_utilization_proxy,0.0,210.5,212.7942854453462,2.2942854453462114
B_utilization_proxy,26.666666666666664,191.0,212.7945009485725,21.79450094857249
B_utilization_proxy,0.0,188.0,212.7942854453462,24.794285445346205
B_utilization_proxy,0.0,201.0,212.7942854453462,11.794285445346192
B_utilization_proxy,0.0,260.0,212.7942854453462,-47.2057145546538
B_utilization_proxy,0.0,278.0,212.7942854453462,-65.20571455465382
B_utilization_proxy,0.0,214.0,212.7942854453462,-1.2057145546537917
B_utilization_proxy,80.0,223.5,212.79665591347026,-10.703344086529732
B_utilization_proxy,0.0,226.0,212.7942854453462,-13.205714554653802
B_utilization_proxy,0.0,225.5,212.7942854453462,-12.705714554653802
B_utilization_proxy,0.0,221.0,212.7942854453462,-8.205714554653799
B_utilization_proxy,0.0,229.0,212.7942854453462,-16.205714554653806
B_utilization_proxy,0.0,218.0,212.7942854453462,-5.205714554653795
B_utilization_proxy,0.0,262.0,212.7942854453462,-49.20571455465381
B_utilization_proxy,0.0,235.0,212.7942854453462,-22.20571455465378
B_utilization_proxy,0.0,301.0,212.7942854453462,-88.20571455465378
B_utilization_proxy,0.0,173.5,212.7942854453462,39.29428544534622
B_utilization_proxy,0.0,401.0,212.7942854453462,-188.2057145546538
B_utilization_proxy,0.0,185.0,212.7942854453462,27.794285445346205
B_utilization_proxy,0.0,199.0,212.7942854453462,13.794285445346194
B_utilization_proxy,0.0,199.0,212.7942854453462,13.794285445346194
B_utilization_proxy,26.666666666666664,186.5,212.7945009485725,26.294500948572498
B_utilization_proxy,0.0,221.0,212.7942854453462,-8.205714554653799
B_utilization_proxy,0.0,196.5,212.7942854453462,16.294285445346198
B_utilization_proxy,0.0,167.0,212.7942854453462,45.7942854453462
B_utilization_proxy,0.0,198.0,212.7942854453462,14.794285445346194
B_utilization_proxy,0.0,208.5,212.7942854453462,4.294285445346214
B_utilization_proxy,0.0,272.0,212.7942854453462,-59.20571455465382
B_utilization_proxy,0.0,370.0,212.7942854453462,-157.20571455465378
B_utilization_proxy,0.0,248.0,212.7942854453462,-35.205714554653795
B_utilization_proxy,0.0,275.0,212.7942854453462,-62.20571455465382
B_utilization_proxy,0.0,258.0,212.7942854453462,-45.2057145546538
B_utilization_proxy,0.0,147.5,212.7942854453462,65.29428544534622
B_utilization_proxy,0.0,254.0,212.7942854453462,-41.2057145546538
B_utilization_proxy,0.0,431.0,212.7942854453462,-218.20571455465378
B_utilization_proxy,26.666666666666664,230.0,212.7945009485725,-17.205499051427513
B_utilization_proxy,26.666666666666664,219.0,212.7945009485725,-6.205499051427505
B_utilization_proxy,0.0,238.5,212.7942854453462,-25.705714554653785
B_utilization_proxy,0.0,199.5,212.7942854453462,13.294285445346194
B_utilization_proxy,0.0,189.0,212.7942854453462,23.7942854453462
B_utilization_proxy,0.0,216.0,212.7942854453462,-3.2057145546537935
B_utilization_proxy,0.0,288.5,212.7942854453462,-75.70571455465378
B_utilization_proxy,0.0,311.0,212.7942854453462,-98.2057145546538
B_utilization_proxy,0.0,344.0,212.7942854453462,-131.20571455465378
B_utilization_proxy,0.0,138.0,212.7942854453462,74.79428544534619
B_utilization_proxy,0.0,264.0,212.7942854453462,-51.20571455465381
B_utilization_proxy,0.0,257.0,212.7942854453462,-44.2057145546538
B_utilization_proxy,0.0,266.5,212.7942854453462,-53.70571455465381
B_utilization_proxy,0.0,183.0,212.7942854453462,29.79428544534621
B_utilization_proxy,0.0,186.0,212.7942854453462,26.794285445346205
B_utilization_proxy,0.0,208.0,212.7942854453462,4.794285445346214
B_utilization_proxy,0.0,224.0,212.7942854453462,-11.2057145546538
B_utilization_proxy,0.0,199.0,212.7942854453462,13.794285445346194
B_utilization_proxy,0.0,168.0,212.7942854453462,44.79428544534619
B_utilization_proxy,0.0,342.0,212.7942854453462,-129.2057145546538
B_utilization_proxy,0.0,260.5,212.7942854453462,-47.7057145546538
B_utilization_proxy,0.0,223.0,212.7942854453462,-10.205714554653799
B_utilization_proxy,0.0,180.5,212.7942854453462,32.29428544534621
B_utilization_proxy,0.0,181.0,212.7942854453462,31.79428544534621
B_utilization_proxy,0.0,209.0,212.7942854453462,3.7942854453462127
B_utilization_proxy,40.0,229.0,212.79468053365875,-16.205319466341265
B_utilization_proxy,40.0,237.0,212.79468053365875,-24.205319466341248
B_utilization_proxy,26.666666666666664,198.25,212.7945009485725,14.544500948572486
B_utilization_proxy,0.0,184.5,212.7942854453462,28.29428544534621
B_utilization_proxy,0.0,212.0,212.7942854453462,0.79428544534621
B_utilization_proxy,26.666666666666664,204.5,212.7945009485725,8.294500948572509
B_utilization_proxy,26.666666666666664,178.0,212.7945009485725,34.794500948572505
B_utilization_proxy,0.0,191.0,212.7942854453462,21.7942854453462
B_utilization_proxy,0.0,227.0,212.7942854453462,-14.205714554653802
B_utilization_proxy,53.33333333333333,175.25,212.79496273707574,37.54496273707575
B_utilization_proxy,0.0,171.0,212.7942854453462,41.79428544534619
B_utilization_proxy,0.0,201.0,212.7942854453462,11.794285445346192
B_utilization_proxy,0.0,258.0,212.7942854453462,-45.2057145546538
B_utilization_proxy,0.0,188.0,212.7942854453462,24.794285445346205
B_utilization_proxy,0.0,181.5,212.7942854453462,31.29428544534621
B_utilization_proxy,0.0,246.0,212.7942854453462,-33.205714554653795
B_utilization_proxy,0.0,220.0,212.7942854453462,-7.205714554653797
B_utilization_proxy,0.0,228.5,212.7942854453462,-15.705714554653804
B_utilization_proxy,0.0,188.0,212.7942854453462,24.794285445346205
B_utilization_proxy,0.0,188.5,212.7942854453462,24.294285445346205
B_utilization_proxy,0.0,232.5,212.7942854453462,-19.70571455465381
B_utilization_proxy,0.0,194.0,212.7942854453462,18.794285445346198
B_utilization_proxy,0.0,192.0,212.7942854453462,20.7942854453462
B_utilization_proxy,80.0,216.0,212.79665591347026,-3.2033440865297247
B_utilization_proxy,0.0,206.0,212.7942854453462,6.794285445346215
B_utilization_proxy,0.0,203.0,212.7942854453462,9.79428544534619
B_utilization_proxy,0.0,201.0,212.7942854453462,11.794285445346192
B_utilization_proxy,0.0,216.0,212.7942854453462,-3.2057145546537935
B_utilization_proxy,0.0,190.5,212.7942854453462,22.2942854453462
B_utilization_proxy,0.0,186.0,212.7942854453462,26.794285445346205
B_utilization_proxy,80.0,235.0,212.79665591347026,-22.203344086529714
B_utilization_proxy,0.0,240.5,212.7942854453462,-27.705714554653788
B_utilization_proxy,0.0,181.5,212.7942854453462,31.29428544534621
B_utilization_proxy,0.0,196.5,212.7942854453462,16.294285445346198
